id_candidato;Candidato;tiktok_username;tiktok_followers;tiktok_fecha_captura;twitter_username;twitter_followers;twitter_fecha_captura;facebook_username;facebook_followers;facebook_fecha_captura
COL-13001-012;Dumek Jose Turbay Paz;dumek_turbay;40013.0;2026-06-15 21:40;dumek_turbay;60344;2026-06-15 21:54;DumekTurbayP;271000.0;2026-06-15 21:11
COL-11001-001;Jorge Luis Vargas Valencia;general_vargas;12115.0;2026-06-15 21:40;ElGeneralVargas;5040;2026-06-15 21:54;ElGeneralVargas;10000.0;2026-06-15 21:11
COL-68081-006;Elkin David Bueno Altahona;elkin.david.bueno;961.0;2026-06-15 21:40;elkindavidbueno;3526;2026-06-15 21:54;elkindavidbueno;16000.0;2026-06-15 21:11
COL-15001-009;Mikhail Krasnov;proferusoalcalde;67720.0;2026-06-15 21:40;ElRusoAlcalde;11046;2026-06-15 21:54;profesor.mijael.krasnov;14000.0;2026-06-15 21:11
COL-08433-008;Elvira Patricia Gutierrez Hernandez;evragutierrez;16994.0;2026-06-15 21:40;elviragh_;366;2026-06-15 21:54;elviragutierrezsoledad;5500.0;2026-06-15 21:11
COL-54001-014;Emerson Meneses Gonzalez;emersonmenesesg;1542.0;2026-06-15 21:40;emersonmenesesg;4659;2026-06-15 21:54;emersonmenesesgonzalez;5800.0;2026-06-15 21:11
COL-20001-007;Ernesto Miguel Orozco Duran;ernestoorozcod;2996.0;2026-06-15 21:40;ErnestoOrozcoD;17531;2026-06-15 21:54;ErnestoMOrozcoD;13000.0;2026-06-15 21:11
COL-68001-002;Edinson Fabian Oviedo Pinzon;fabian_oviedop;4726.0;2026-06-15 21:40;FabianOviedoP;3236;2026-06-15 21:54;FabianOviedoP;25000.0;2026-06-15 21:11
COL-05001-001;Federico Andres Gutierrez Zuluaga;ficogutierrez;425002.0;2026-06-15 21:40;FicoGutierrez;1211301;2026-06-15 21:54;FicoGutierrezZ;;
COL-54001-010;Juan Carlos Garcia Herreros Cabrera;juancarlosgarciaherreros;1018.0;2026-06-15 21:40;GarciaHerrerosJ;490;2026-06-15 21:54;juancarlosgarciaherreros;21000.0;2026-06-15 21:11
COL-44001-003;Genaro David Redondo Choles;genaroredondocholes;5911.0;2026-06-15 21:40;GenaroRedondoC;1464;2026-06-15 21:54;GenaroRedondoC;14000.0;2026-06-15 21:11
COL-41001-007;German Casagua Bonilla;germancasaguab;27820.0;2026-06-15 21:40;germancasaguab;2185;2026-06-15 21:54;Germancasaguab;53000.0;2026-06-15 21:11
COL-11001-006;Gustavo Bolivar Moreno;gustavobolivarmoreno;337634.0;2026-06-15 21:40;GustavoBolivar;1732913;2026-06-15 21:54;gustavoBolivarSenador;510000.0;2026-06-15 21:11
COL-76520-003;Hector Fabio Velasco Hernandez;hectorfabiovelascohe;2247.0;2026-06-15 21:40;hectorfabio_;435;2026-06-15 21:54;hectorfabio.velascohernandez.5;6700.0;2026-06-15 21:11
COL-05045-004;Hector Rangel Palacios Rodriguez;hectorrangelp;1012.0;2026-06-15 21:40;HectorRangelPal;113;2026-06-15 21:54;hectorrangelpalacios;22000.0;2026-06-15 21:11
COL-25754-007;Heiner de Jesus Gaitan Parra;heinergaitan_;2890.0;2026-06-15 21:40;HeinerGaitan;9599;2026-06-15 21:54;GaitanParraHeiner;20000.0;2026-06-15 21:11
COL-08433-001;Jose Joao Herrera Iranzo;joao_herrera;710.0;2026-06-15 21:40;herrerajoao1;10617;2026-06-15 21:54;herrerajoao1;21000.0;2026-06-15 21:11
COL-68001-015;Horacio Jose Serpa Moncada;horaciojserpa;6195.0;2026-06-15 21:40;horaciojserpa;42875;2026-06-15 21:54;horaciojserpa;49000.0;2026-06-15 21:11
COL-50001-016;Irina Colette Salas Londoño;irinacsalas;1068.0;2026-06-15 21:40;IrinaSalasL;1888;2026-06-15 21:54;IrinaSalasL;11000.0;2026-06-15 21:11
COL-68001-013;Jaime Calderon Herrera;medicojaimecalderon;2742.0;2026-06-15 21:40;jaimecalde50;1475;2026-06-15 21:54;jaime.calderon.319247;6100.0;2026-06-15 21:11
COL-63001-013;James Padilla Garcia;jamespadillag;1215.0;2026-06-15 21:40;jamespadillag;400;2026-06-15 21:54;JamesPadillaGar;;
COL-13001-010;Javier Julio Bejarano;javierjuliob;10699.0;2026-06-15 21:40;javierjuliob;3641;2026-06-15 21:54;javierjuliob;72000.0;2026-06-15 21:11
COL-11001-008;Juan Daniel Oviedo Arango;jdoviedoar;472075.0;2026-06-15 21:40;JDOviedoAr;175829;2026-06-15 21:54;JDOviedoAr;272000.0;2026-06-15 21:11
COL-11001-009;Jorge Enrique Robledo Castillo;jerobledo;71231.0;2026-06-15 21:40;JERobledo;1216430;2026-06-15 21:54;jorge.robledo.castillo;443000.0;2026-06-15 21:11
COL-68276-007;Jhair Andres Manrique Bautista;jhair.manrique;97.0;2026-06-15 21:40;JhairManrique;340;2026-06-15 21:54;jhair.manrique;5300.0;2026-06-15 21:11
COL-73001-007;Johana Ximena Aranda Rivera;johanaaranda_;53705.0;2026-06-15 21:40;johanaaranda_;4563;2026-06-15 21:54;johanaarandar;55000.0;2026-06-15 21:11
